true_hypothesis,supplied_diagnosis,applied_repair,correct_repair,repair_selection_correct,pre_repair_accuracy,post_repair_accuracy,affected_region_accuracy,unaffected_region_accuracy,pre_repair_unaffected_accuracy,collateral_damage,repair_success,affected_case_count,unaffected_case_count,pre_world_relation,post_world_relation,pre_sensor_calibration,post_sensor_calibration,pre_latent_structure,post_latent_structure
NO_STRUCTURAL_CHANGE,NO_STRUCTURAL_CHANGE,NO_REPAIR,NO_REPAIR,True,1,1,1,1,1,0,True,2,8,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
NO_STRUCTURAL_CHANGE,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,NO_REPAIR,False,1,0.2,0,0.25,1,0.75,False,2,8,Y_EQUALS_X,Y_EQUALS_ONE_MINUS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
NO_STRUCTURAL_CHANGE,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,NO_REPAIR,False,1,0.4,0.5,0.375,1,0.625,False,2,8,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_ONE_MINUS_Y,ABSENT,ABSENT
NO_STRUCTURAL_CHANGE,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,NO_REPAIR,False,1,0.6,1,0.5,1,0.5,False,2,8,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,CONTEXT_DEPENDENT
WORLD_SHIFT,WORLD_SHIFT,NO_REPAIR,UPDATE_WORLD_MODEL,False,0.2,0.2,0,1,1,0,False,8,2,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
WORLD_SHIFT,WORLD_SHIFT,UPDATE_WORLD_MODEL,UPDATE_WORLD_MODEL,True,0.2,1,1,1,1,0,True,8,2,Y_EQUALS_X,Y_EQUALS_ONE_MINUS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
WORLD_SHIFT,WORLD_SHIFT,RECALIBRATE_SENSOR,UPDATE_WORLD_MODEL,False,0.2,0.4,0.5,0,1,1,False,8,2,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_ONE_MINUS_Y,ABSENT,ABSENT
WORLD_SHIFT,WORLD_SHIFT,ADD_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,0.2,0.6,0.5,1,1,0,False,8,2,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,CONTEXT_DEPENDENT
SENSOR_CORRUPTION,SENSOR_CORRUPTION,NO_REPAIR,RECALIBRATE_SENSOR,False,0.4,0.4,0,1,1,0,False,6,4,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
SENSOR_CORRUPTION,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,RECALIBRATE_SENSOR,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4,Y_EQUALS_X,Y_EQUALS_ONE_MINUS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
SENSOR_CORRUPTION,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,RECALIBRATE_SENSOR,True,0.4,1,1,1,1,0,True,6,4,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_ONE_MINUS_Y,ABSENT,ABSENT
SENSOR_CORRUPTION,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,CONTEXT_DEPENDENT
MISSING_LATENT_VARIABLE,MISSING_LATENT_VARIABLE,NO_REPAIR,ADD_LATENT_VARIABLE,False,0.6,0.6,0,1,1,0,False,4,6,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
MISSING_LATENT_VARIABLE,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,ADD_LATENT_VARIABLE,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6,Y_EQUALS_X,Y_EQUALS_ONE_MINUS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,ABSENT
MISSING_LATENT_VARIABLE,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,ADD_LATENT_VARIABLE,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_ONE_MINUS_Y,ABSENT,ABSENT
MISSING_LATENT_VARIABLE,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,0.6,1,1,1,1,0,True,4,6,Y_EQUALS_X,Y_EQUALS_X,O_EQUALS_Y,O_EQUALS_Y,ABSENT,CONTEXT_DEPENDENT
