seed,option_A_repair,option_B_repair,option_C_repair,option_D_repair,correct_option_NO_STRUCTURAL_CHANGE,correct_option_WORLD_SHIFT,correct_option_SENSOR_CORRUPTION,correct_option_MISSING_LATENT_VARIABLE
0,RECALIBRATE_SENSOR,NO_REPAIR,UPDATE_WORLD_MODEL,ADD_LATENT_VARIABLE,B,C,A,D
1,ADD_LATENT_VARIABLE,NO_REPAIR,RECALIBRATE_SENSOR,UPDATE_WORLD_MODEL,B,D,C,A
2,UPDATE_WORLD_MODEL,RECALIBRATE_SENSOR,ADD_LATENT_VARIABLE,NO_REPAIR,D,A,B,C
3,ADD_LATENT_VARIABLE,NO_REPAIR,RECALIBRATE_SENSOR,UPDATE_WORLD_MODEL,B,D,C,A
4,RECALIBRATE_SENSOR,NO_REPAIR,ADD_LATENT_VARIABLE,UPDATE_WORLD_MODEL,B,D,A,C
5,NO_REPAIR,UPDATE_WORLD_MODEL,ADD_LATENT_VARIABLE,RECALIBRATE_SENSOR,A,B,D,C
6,ADD_LATENT_VARIABLE,RECALIBRATE_SENSOR,UPDATE_WORLD_MODEL,NO_REPAIR,D,C,B,A
7,ADD_LATENT_VARIABLE,UPDATE_WORLD_MODEL,NO_REPAIR,RECALIBRATE_SENSOR,C,B,D,A
8,NO_REPAIR,RECALIBRATE_SENSOR,ADD_LATENT_VARIABLE,UPDATE_WORLD_MODEL,A,D,B,C
9,NO_REPAIR,UPDATE_WORLD_MODEL,RECALIBRATE_SENSOR,ADD_LATENT_VARIABLE,A,B,C,D
