true_hypothesis,seed,model_diagnosis,selected_repair,repair_consistent_with_model_diagnosis,post_repair_accuracy,affected_region_accuracy,unaffected_region_accuracy,collateral_damage,sensor_corruption_world_update_case
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,0.6,1,0.5,0.5,False
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,0.6,1,0.5,0.5,False
NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,0.6,1,0.5,0.5,False
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,0.6,1,0.5,0.5,False
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,0.6,1,0.5,0.5,False
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,0.4,0.5,0.375,0.625,False
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,0.6,1,0.5,0.5,False
WORLD_SHIFT,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,0.6,0.5,1,0,False
WORLD_SHIFT,6,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,0.6,0.5,1,0,False
WORLD_SHIFT,7,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.5,0,1,False
WORLD_SHIFT,8,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.5,0,1,False
WORLD_SHIFT,9,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.5,0,1,False
SENSOR_CORRUPTION,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,0.4,0.3333333333333333,0.5,0.5,False
MISSING_LATENT_VARIABLE,2,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.5,0.3333333333333333,0.6666666666666667,False
MISSING_LATENT_VARIABLE,4,MISSING_LATENT_VARIABLE,NO_REPAIR,False,0.6,0,1,0,False
MISSING_LATENT_VARIABLE,5,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,0.6,1,0.3333333333333333,0.6666666666666667,False
MISSING_LATENT_VARIABLE,6,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,0.4,0.5,0.3333333333333333,0.6666666666666667,False
MISSING_LATENT_VARIABLE,8,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,0.6,1,0.3333333333333333,0.6666666666666667,False
