timestamp,benchmark_version,investigation_prompt_version,repair_prompt_version,provider,model,thinking_level,condition,true_hypothesis,seed,model_diagnosis,diagnosis_correct,selected_option,selected_repair,correct_repair,repair_selection_correct,repair_consistent_with_model_diagnosis,failure_chain_category,outcome,repair_success,post_repair_accuracy,affected_region_accuracy,unaffected_region_accuracy,collateral_damage,experiments_used,decision_calls,action_sequence,investigation_retries,repair_retries,total_retries,provider_failure,rate_limit_failure,scientific_model_failure,option_permutation
2026-08-29T19:55:35.809634+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,True,D,ADD_LATENT_VARIABLE,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.6,1,0.5,0.5,1,2,REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""RECALIBRATE_SENSOR"", ""B"": ""NO_REPAIR"", ""C"": ""UPDATE_WORLD_MODEL"", ""D"": ""ADD_LATENT_VARIABLE""}"
2026-08-29T19:56:07.160706+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,True,A,ADD_LATENT_VARIABLE,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.6,1,0.5,0.5,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""ADD_LATENT_VARIABLE"", ""B"": ""NO_REPAIR"", ""C"": ""RECALIBRATE_SENSOR"", ""D"": ""UPDATE_WORLD_MODEL""}"
2026-08-29T19:56:37.959412+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,False,C,ADD_LATENT_VARIABLE,NO_REPAIR,False,True,WRONG_DIAGNOSIS_REPAIR_CONSISTENT_WITH_WRONG_DIAGNOSIS,WRONG_DIAGNOSIS_REPAIR_CONSISTENT_WITH_WRONG_DIAGNOSIS,False,0.6,1,0.5,0.5,2,3,USE_TRUSTED_SENSOR>CHANGE_CONTEXT,0,0,0,False,False,False,"{""A"": ""UPDATE_WORLD_MODEL"", ""B"": ""RECALIBRATE_SENSOR"", ""C"": ""ADD_LATENT_VARIABLE"", ""D"": ""NO_REPAIR""}"
2026-08-29T19:57:07.705097+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE,True,B,NO_REPAIR,NO_REPAIR,True,True,CORRECT_DIAGNOSIS_CORRECT_REPAIR,CORRECT_DIAGNOSIS_CORRECT_REPAIR,True,1,1,1,0,2,3,REPEAT_TRIAL>CHANGE_CONTEXT,0,0,0,False,False,False,"{""A"": ""ADD_LATENT_VARIABLE"", ""B"": ""NO_REPAIR"", ""C"": ""RECALIBRATE_SENSOR"", ""D"": ""UPDATE_WORLD_MODEL""}"
2026-08-29T19:57:37.786220+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE,True,B,NO_REPAIR,NO_REPAIR,True,True,CORRECT_DIAGNOSIS_CORRECT_REPAIR,CORRECT_DIAGNOSIS_CORRECT_REPAIR,True,1,1,1,0,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""RECALIBRATE_SENSOR"", ""B"": ""NO_REPAIR"", ""C"": ""ADD_LATENT_VARIABLE"", ""D"": ""UPDATE_WORLD_MODEL""}"
2026-08-29T19:58:01.499175+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,True,C,ADD_LATENT_VARIABLE,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.6,1,0.5,0.5,1,2,REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""NO_REPAIR"", ""B"": ""UPDATE_WORLD_MODEL"", ""C"": ""ADD_LATENT_VARIABLE"", ""D"": ""RECALIBRATE_SENSOR""}"
2026-08-29T19:58:32.018734+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE,True,D,NO_REPAIR,NO_REPAIR,True,True,CORRECT_DIAGNOSIS_CORRECT_REPAIR,CORRECT_DIAGNOSIS_CORRECT_REPAIR,True,1,1,1,0,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""ADD_LATENT_VARIABLE"", ""B"": ""RECALIBRATE_SENSOR"", ""C"": ""UPDATE_WORLD_MODEL"", ""D"": ""NO_REPAIR""}"
2026-08-29T19:59:01.406650+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,True,A,ADD_LATENT_VARIABLE,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.6,1,0.5,0.5,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""ADD_LATENT_VARIABLE"", ""B"": ""UPDATE_WORLD_MODEL"", ""C"": ""NO_REPAIR"", ""D"": ""RECALIBRATE_SENSOR""}"
2026-08-29T19:59:31.404692+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,True,B,RECALIBRATE_SENSOR,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.4,0.5,0.375,0.625,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""NO_REPAIR"", ""B"": ""RECALIBRATE_SENSOR"", ""C"": ""ADD_LATENT_VARIABLE"", ""D"": ""UPDATE_WORLD_MODEL""}"
2026-08-29T20:00:00.482769+00:00,binary_er1_v2_er2_end_to_end_v0,binary_er1_v2_001,binary_er1_v2_er2_repair_001,gemini,gemini-3.6-flash,low,FULL_AUTONOMOUS_END_TO_END_REPAIR,NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,True,D,ADD_LATENT_VARIABLE,NO_REPAIR,False,False,CORRECT_DIAGNOSIS_WRONG_REPAIR,CORRECT_DIAGNOSIS_WRONG_REPAIR,False,0.6,1,0.5,0.5,2,3,USE_TRUSTED_SENSOR>REPEAT_TRIAL,0,0,0,False,False,False,"{""A"": ""NO_REPAIR"", ""B"": ""UPDATE_WORLD_MODEL"", ""C"": ""RECALIBRATE_SENSOR"", ""D"": ""ADD_LATENT_VARIABLE""}"
