true_hypothesis,seed,model_diagnosis,repair,chosen,oracle,pre_repair_accuracy,post_repair_accuracy,affected_region_accuracy,unaffected_region_accuracy,pre_repair_unaffected_accuracy,collateral_damage,repair_success,affected_case_count,unaffected_case_count
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,0,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,1,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE,NO_REPAIR,True,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,3,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE,NO_REPAIR,True,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,4,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,5,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE,NO_REPAIR,True,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,6,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,7,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,True,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,8,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,False,1,0.6,1,0.5,1,0.5,False,2,8
